family,seed,best_epoch,val_pr_auc,test_pr_auc,test_roc_auc,test_brier
sign_linear10_start13_local_rerun,37,2,0.9560241323617726,0.9153551698745114,0.9716359915031167,0.023307887167242657
sign_linear10_start13_local_rerun,57,1,0.9556360787788367,0.9147774660446468,0.9712288513683717,0.02321834117418666
sign_linear10_start13_local_rerun,17,3,0.9531427143264274,0.9097628254972535,0.9700734927343873,0.024913857081695787
sign_linear10_start13_local_rerun,7,2,0.9527067911761159,0.9110722863420033,0.9698821368710572,0.024181727524937878
sign_linear10_start13_local_rerun,27,1,0.9500811527523141,0.9070875815610931,0.9676499582484358,0.02494996820486383
sign_linear10_start13_local_rerun,47,3,0.9499433167635388,0.9064017476558506,0.9683845178528322,0.025799843008443936
appnp_linear4_start13_local_rerun,37,3,0.9533312239013197,0.9150206856114556,0.9697349097449122,0.022924786805165395
appnp_linear4_start13_local_rerun,17,3,0.9500570399820212,0.9091263270186304,0.9674198584045413,0.02489349322694675
appnp_linear4_start13_local_rerun,57,4,0.9489626374353305,0.9076503511202625,0.9685609014660459,0.025217026765039337
appnp_linear4_start13_local_rerun,7,2,0.9489388017781569,0.9078758038830226,0.9656838654041996,0.02411020604799419
appnp_linear4_start13_local_rerun,27,1,0.9487587350978666,0.9128923772913602,0.9671908092448656,0.023063474318019618
appnp_linear4_start13_local_rerun,47,1,0.9483139237948343,0.9015586267984287,0.9602344917039288,0.02688775714116601
