step,labeled,illicit,illicit_rate,graphagg_pr_auc,graphagg_roc_auc,graphagg_brier
38,756,111,0.14682539682539683,0.952855912915008,0.977037502618898,0.029623812451115655
39,1183,81,0.06846999154691462,0.9634231360745824,0.9929309224530035,0.013360012237495418
40,1211,112,0.09248554913294797,0.7811253068719777,0.9115917067463928,0.035657763405697915
41,1132,116,0.10247349823321555,0.9586549602961459,0.9779985745316319,0.021309217657430653
42,2154,239,0.11095636025998143,0.8994091968095993,0.9648906999355453,0.025390050474255847
